dpf,dose,x_fish,x_dead,percent_dead,hatched,percent_hatched,abnormalities,percent_abnormalities
0,2,,na,na,na,na,na,na
0,8,60,na,na,na,na,na,na
0,16,,na,na,na,na,na,na
1,0,60,12,20,na,na,na,na
1,0.25,60,9,15,na,na,na,na
1,0.5,60,9,15,na,na,na,na
1,2,60,15,25,na,na,na,na
1,8,60,13,21.66666667,na,na,na,na
1,16,60,40,66.66666667,na,na,na,na
2,0,60,0,20,30,62.5,na,na
2,0.25,60,0,15,14,27.45098039,na,na
2,0.5,60,0,15,12,23.52941176,na,na
2,2,60,0,25,14,31.11111111,na,na
2,8,60,3,26.66666667,3,6.818181818,na,na
2,16,60,20,100,na,na,na,na
3,0,60,0,20,39,81.25,na,na
3,0.25,60,0,15,38,74.50980392,na,na
3,0.5,60,0,15,37,72.54901961,na,na
3,2,60,0,25,43,95.55555556,na,na
3,8,60,4,33.33333333,7,17.5,na,na
3,16,60,60,100,na,na,na,na
4,0,60,0,20,48,100,na,na
4,0.25,60,0,15,51,100,na,na
4,0.5,60,0,15,51,100,na,na
4,2,60,0,25,45,100,na,na
4,8,60,15,58.33333333,19,76,na,na
4,16,60,60,100,na,na,na,na
5,0,60,0,20,,100,1,2.083333333
5,0.25,60,0,15,,100,0,0
5,0.5,60,0,15,,100,3,5.882352941
5,2,60,0,25,,100,45,100
5,8,60,25,100,na,na,na,na
5,16,60,60,100,na,na,na,na
